Timestamp,Status,Current,Total,Progress
2025-02-21 02:59:57,in_progress,96,97,98.97%
2025-02-21 03:00:02,in_progress,96,97,98.97%
2025-02-21 03:00:07,in_progress,96,97,98.97%
2025-02-21 03:00:12,in_progress,96,97,98.97%
2025-02-21 03:00:18,in_progress,96,97,98.97%
2025-02-21 03:00:23,in_progress,96,97,98.97%
2025-02-21 03:00:28,in_progress,96,97,98.97%
2025-02-21 03:00:07,in_progress,96,97,98.97%
2025-02-21 03:00:12,in_progress,96,97,98.97%
2025-02-21 03:00:18,in_progress,96,97,98.97%
2025-02-21 03:00:23,in_progress,96,97,98.97%
2025-02-21 03:00:28,in_progress,96,97,98.97%
2025-02-21 03:00:18,in_progress,96,97,98.97%
2025-02-21 03:00:23,in_progress,96,97,98.97%
2025-02-21 03:00:28,in_progress,96,97,98.97%
2025-02-21 03:00:23,in_progress,96,97,98.97%
2025-02-21 03:00:28,in_progress,96,97,98.97%
2025-02-21 03:00:28,in_progress,96,97,98.97%
2025-02-21 03:00:33,in_progress,96,97,98.97%
2025-02-21 03:00:39,in_progress,96,97,98.97%
2025-02-21 03:00:33,in_progress,96,97,98.97%
2025-02-21 03:00:39,in_progress,96,97,98.97%
2025-02-21 03:00:44,in_progress,96,97,98.97%
2025-02-21 03:00:39,in_progress,96,97,98.97%
2025-02-21 03:00:44,in_progress,96,97,98.97%
2025-02-21 03:00:44,in_progress,96,97,98.97%
2025-02-21 03:00:49,in_progress,96,97,98.97%
2025-02-21 03:00:54,in_progress,96,97,98.97%
2025-02-21 03:01:00,in_progress,96,97,98.97%
2025-02-21 03:01:05,in_progress,96,97,98.97%
2025-02-21 03:01:10,in_progress,96,97,98.97%
2025-02-21 03:01:00,in_progress,96,97,98.97%
2025-02-21 03:01:05,in_progress,96,97,98.97%
2025-02-21 03:01:10,in_progress,96,97,98.97%
2025-02-21 03:01:05,in_progress,96,97,98.97%
2025-02-21 03:01:10,in_progress,96,97,98.97%
2025-02-21 03:01:10,in_progress,96,97,98.97%
2025-02-21 03:01:16,in_progress,96,97,98.97%
2025-02-21 03:01:16,in_progress,96,97,98.97%
2025-02-21 03:01:21,in_progress,96,97,98.97%
2025-02-21 03:01:26,in_progress,96,97,98.97%
2025-02-21 03:01:31,in_progress,96,97,98.97%
2025-02-21 03:01:37,in_progress,96,97,98.97%
2025-02-21 03:01:42,in_progress,96,97,98.97%
2025-02-21 03:01:47,in_progress,96,97,98.97%
2025-02-21 03:01:52,in_progress,96,97,98.97%
2025-02-21 03:01:58,in_progress,96,97,98.97%
2025-02-21 03:02:03,in_progress,96,97,98.97%
2025-02-21 03:02:08,in_progress,96,97,98.97%
2025-02-21 03:02:13,in_progress,96,97,98.97%
2025-02-21 03:02:19,in_progress,96,97,98.97%
2025-02-21 03:02:24,in_progress,96,97,98.97%
2025-02-21 03:02:29,in_progress,96,97,98.97%
2025-02-21 03:02:34,in_progress,96,97,98.97%
2025-02-21 03:02:40,in_progress,96,97,98.97%
2025-02-21 03:02:45,in_progress,96,97,98.97%
2025-02-21 03:02:50,in_progress,96,97,98.97%
2025-02-21 03:02:55,in_progress,96,97,98.97%
2025-02-21 03:03:01,in_progress,96,97,98.97%
2025-02-21 03:03:06,in_progress,96,97,98.97%
2025-02-21 03:03:11,in_progress,96,97,98.97%
2025-02-21 03:03:16,in_progress,96,97,98.97%
2025-02-21 03:03:22,in_progress,96,97,98.97%
2025-02-21 03:03:27,in_progress,96,97,98.97%
2025-02-21 03:03:32,in_progress,96,97,98.97%
2025-02-21 03:03:37,in_progress,96,97,98.97%
2025-02-21 03:03:43,in_progress,96,97,98.97%
2025-02-21 03:03:48,in_progress,96,97,98.97%
2025-02-21 03:03:53,in_progress,96,97,98.97%
2025-02-21 03:03:59,in_progress,96,97,98.97%
2025-02-21 03:04:04,in_progress,96,97,98.97%
2025-02-21 03:04:09,in_progress,96,97,98.97%
2025-02-21 03:04:14,in_progress,96,97,98.97%
2025-02-21 03:04:20,in_progress,96,97,98.97%
2025-02-21 03:04:25,in_progress,96,97,98.97%
2025-02-21 03:04:30,in_progress,96,97,98.97%
2025-02-21 03:04:35,in_progress,96,97,98.97%
2025-02-21 03:04:41,in_progress,96,97,98.97%
2025-02-21 03:04:46,in_progress,96,97,98.97%
2025-02-21 03:04:51,in_progress,96,97,98.97%
2025-02-21 03:04:57,in_progress,96,97,98.97%
2025-02-21 03:05:02,in_progress,96,97,98.97%
2025-02-21 03:05:07,in_progress,96,97,98.97%
2025-02-21 03:05:12,in_progress,96,97,98.97%
2025-02-21 03:05:17,in_progress,96,97,98.97%
2025-02-21 03:05:23,in_progress,96,97,98.97%
2025-02-21 03:05:28,in_progress,96,97,98.97%
2025-02-21 03:05:34,in_progress,96,97,98.97%
2025-02-21 03:05:39,in_progress,96,97,98.97%
2025-02-21 03:05:44,in_progress,96,97,98.97%
2025-02-21 03:05:49,in_progress,96,97,98.97%
2025-02-21 03:05:55,in_progress,96,97,98.97%
2025-02-21 03:06:00,in_progress,96,97,98.97%
2025-02-21 03:06:05,in_progress,96,97,98.97%
2025-02-21 03:06:10,in_progress,96,97,98.97%
2025-02-21 03:06:16,in_progress,96,97,98.97%
2025-02-21 03:06:21,in_progress,96,97,98.97%
2025-02-21 03:06:26,in_progress,96,97,98.97%
2025-02-21 03:06:32,in_progress,96,97,98.97%
2025-02-21 03:06:37,in_progress,96,97,98.97%
2025-02-21 03:06:42,in_progress,96,97,98.97%
2025-02-21 03:06:48,in_progress,96,97,98.97%
2025-02-21 03:06:53,in_progress,96,97,98.97%
2025-02-21 03:06:58,in_progress,96,97,98.97%
2025-02-21 03:07:03,in_progress,96,97,98.97%
2025-02-21 03:07:08,in_progress,96,97,98.97%
2025-02-21 03:07:14,in_progress,96,97,98.97%
2025-02-21 03:07:19,in_progress,96,97,98.97%
2025-02-21 03:07:24,in_progress,96,97,98.97%
2025-02-21 03:07:29,in_progress,96,97,98.97%
2025-02-21 03:07:35,in_progress,96,97,98.97%
2025-02-21 03:07:40,in_progress,96,97,98.97%
2025-02-21 03:07:45,in_progress,96,97,98.97%
2025-02-21 03:07:50,in_progress,96,97,98.97%
2025-02-21 03:07:56,in_progress,96,97,98.97%
2025-02-21 03:08:01,in_progress,96,97,98.97%
2025-02-21 03:08:06,in_progress,96,97,98.97%
